Quarterly Results of State Bank of India(in Rs. Cr.),Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12,Jun '12,Mar '12,Dec '11
Depreciation,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Operating Profit before Provisions and contingencies,"28,747.55","20,336.08","19,416.62","25,296.93","24,621.11","25,219.28","21,120.02","12,752.56","19,716.83","18,521.64","18,079.08","18,974.82","19,700.15","17,333.16","16,459.76","16,521.35","15,733.78","18,222.56","14,714.46","13,246.16","16,933.09","12,624.95","12,344.30","11,973.13","15,883.18","11,754.57","14,562.97","11,874.06","16,026.46","12,543.26","11,224.32","11,053.86","14,191.90","9,597.92","10,265.89","9,202.10","12,409.36","9,294.47","8,421.92","8,787.74","10,627.82","7,618.47","6,311.68","7,551.27","7,760.64","7,790.76","7,353.65","8,176.67","9,596.79","7,260.00"
Provisions And Contingencies,"1,609.78",687.85,115.28,"2,501.31","3,315.71","5,760.57","3,038.67","4,392.38","7,237.45","6,973.97",188.75,"10,051.96","11,051.03","10,342.39","10,118.31","12,501.30","13,495.08","7,252.90","13,138.93","9,182.94","16,501.89","6,006.22","12,092.17","19,228.26","28,096.07","18,876.21","19,137.43","8,929.48","11,740.09","8,942.83","7,896.72","7,413.10","13,174.05","7,949.38","4,360.60","3,999.73","6,592.91","5,234.91","4,274.98","3,496.73","5,891.12","4,149.61","3,028.74","2,865.88","4,180.99","2,667.91","1,825.60","2,456.33","3,140.41","2,407.42"
Exceptional Items,--,"-7,100.00",--,--,--,--,--,--,--,--,"-7,418.39",--,--,--,--,"1,539.73","2,731.34",--,"3,484.30",--,--,--,"1,560.55",--,--,--,"5,436.17",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,"27,137.77","12,548.23","19,301.34","22,795.62","21,305.40","19,458.71","18,081.35","8,360.18","12,479.38","11,547.67","10,471.94","8,922.86","8,649.12","6,990.77","6,341.45","5,559.78","4,970.04","10,969.66","5,059.83","4,063.22",431.20,"6,618.73","1,812.68","-7,255.13","-12,212.89","-7,121.64",861.71,"2,944.58","4,286.37","3,600.43","3,327.60","3,640.76","1,017.85","1,648.54","5,905.29","5,202.37","5,816.45","4,059.56","4,146.94","5,291.01","4,736.70","3,468.86","3,282.94","4,685.39","3,579.65","5,122.85","5,528.05","5,720.34","6,456.38","4,852.58"
Tax,"6,439.42","3,384.27","4,971.32","5,911.33","4,610.89","5,253.37","4,816.83","2,292.10","3,365.85","3,115.79","2,845.37","2,418.86","2,198.37","1,794.55","1,767.29","1,370.44","1,389.23","5,386.30","2,048.10","1,751.02",-407.20,"2,663.92",867.81,"-2,379.28","-4,494.72","-4,705.27",-719.84,939.05,"1,471.55",990.43,789.28,"1,119.80",-245.96,533.20,"2,026.22","1,509.94","2,074.43","1,149.50","1,046.53","1,941.93","1,695.96","1,234.52",907.93,"1,444.31",280.43,"1,726.79","1,869.91","1,968.78","2,406.11","1,589.54"
P/L After Tax from Ordinary Activities,"20,698.35","9,163.96","14,330.02","16,884.29","16,694.51","14,205.34","13,264.52","6,068.08","9,113.53","8,431.88","7,626.57","6,504.00","6,450.75","5,196.22","4,574.16","4,189.34","3,580.81","5,583.36","3,011.73","2,312.20",838.40,"3,954.81",944.87,"-4,875.85","-7,718.17","-2,416.37","1,581.55","2,005.53","2,814.82","2,610.00","2,538.32","2,520.96","1,263.81","1,115.34","3,879.07","3,692.43","3,742.02","2,910.06","3,100.41","3,349.08","3,040.74","2,234.34","2,375.01","3,241.08","3,299.22","3,396.06","3,658.14","3,751.56","4,050.27","3,263.04"
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,"20,698.35","9,163.96","14,330.02","16,884.29","16,694.51","14,205.34","13,264.52","6,068.08","9,113.53","8,431.88","7,626.57","6,504.00","6,450.75","5,196.22","4,574.16","4,189.34","3,580.81","5,583.36","3,011.73","2,312.20",838.40,"3,954.81",944.87,"-4,875.85","-7,718.17","-2,416.37","1,581.55","2,005.53","2,814.82","2,610.00","2,538.32","2,520.96","1,263.81","1,115.34","3,879.07","3,692.43","3,742.02","2,910.06","3,100.41","3,349.08","3,040.74","2,234.34","2,375.01","3,241.08","3,299.22","3,396.06","3,658.14","3,751.56","4,050.27","3,263.04"
Equity Share Capital,892.46,892.46,892.46,892.46,892.46,892.46,892.46,892.46,892.46,892.46,892.46,892.46,892.46,892.46,892.46,892.46,892.46,892.46,892.46,892.46,892.46,892.46,892.46,892.46,892.46,863.21,863.21,863.21,797.35,776.28,776.28,776.28,776.28,776.28,776.28,756.62,746.57,746.57,746.57,746.57,746.57,684.03,684.03,684.03,684.03,671.05,671.04,671.04,671.04,635.00
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
ANALYTICAL RATIOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) % of Share by Govt.,56.92,56.92,56.92,56.92,56.92,56.92,56.92,56.92,56.92,56.92,56.92,56.92,56.92,56.92,56.92,56.92,56.92,56.92,57.13,57.13,57.13,57.70,57.70,57.66,58.03,56.61,57.07,57.07,61.23,60.18,60.18,60.18,60.18,60.18,60.18,59.15,58.60,58.60,58.60,58.60,58.60,62.31,62.31,62.31,62.31,61.58,61.58,61.58,61.58,59.40
b) Capital Adequacy Ratio - Basel -I,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11.22,10.70,11.17,11.53,12.05,10.19
c) Capital Adequacy Ratio - Basel -II,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,13.19,--,12.79,12.54,12.87,12.85,12.96,11.88,11.96,12.12,12.92,12.21,12.63,13.17,13.86,11.60
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,23.19,10.27,16.06,18.92,18.71,15.92,14.86,6.80,10.21,9.45,8.55,7.29,7.23,5.82,5.13,4.69,4.01,6.26,3.37,2.59,0.94,4.43,1.06,-5.46,-8.92,-2.80,1.83,2.44,3.55,3.36,3.27,3.25,1.64,1.43,5.08,4.88,5.01,3.90,41.53,44.86,41.79,32.66,34.72,47.38,49.13,50.61,54.51,55.91,63.76,51.39
Diluted EPS,23.19,10.27,16.06,18.92,18.71,15.92,14.86,6.80,10.21,9.45,8.55,7.29,7.23,5.82,5.13,4.69,4.01,6.26,3.37,2.59,0.94,4.43,1.06,-5.46,-8.92,-2.80,1.83,2.44,3.55,3.36,3.27,3.25,1.64,1.43,5.08,4.88,5.01,3.90,41.53,44.86,41.79,32.66,34.72,47.38,49.13,50.61,54.51,55.91,63.76,51.39
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS.,23.19,10.27,16.06,18.92,18.71,15.92,14.86,6.80,10.21,9.45,8.55,7.29,7.23,5.82,5.13,4.69,4.01,6.26,3.37,2.59,0.94,4.43,1.06,-5.46,-8.92,-2.80,1.83,2.44,3.55,3.36,3.27,3.25,1.64,1.43,5.08,4.88,5.01,3.90,41.53,44.86,41.79,32.66,34.72,47.38,49.13,50.61,54.51,55.91,63.76,51.39
Diluted EPS.,23.19,10.27,16.06,18.92,18.71,15.92,14.86,6.80,10.21,9.45,8.55,7.29,7.23,5.82,5.13,4.69,4.01,6.26,3.37,2.59,0.94,4.43,1.06,-5.46,-8.92,-2.80,1.83,2.44,3.55,3.36,3.27,3.25,1.64,1.43,5.08,4.88,5.01,3.90,41.53,44.86,41.79,32.66,34.72,47.38,49.13,50.61,54.51,55.91,63.76,51.39
NPA Ratios :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i) Gross NPA,"84,276.33","86,748.81","86,974.08","91,327.84","90,927.78","96,346.50","106,804.14","113,271.72","112,023.37","120,028.77","123,941.77","134,259.48","126,389.02","117,244.23","125,862.99","129,660.69","149,091.85","159,661.19","161,636.05","168,493.94","172,750.36","187,764.57","205,864.12","212,839.92","223,427.46","199,141.34","186,114.60","188,068.49","112,342.99","108,172.32","105,782.96","101,541.18","98,172.80","72,791.73","56,834.28","56,420.77","56,725.34","61,991.45","60,712.38","60,434.24","61,605.35","67,799.33","64,206.30","60,891.46","51,189.39","53,457.79","49,202.46","47,156.38","39,676.46","40,098.43"
ii) Net NPA,"21,051.08","22,408.36","21,352.40","22,995.37","21,466.64","23,484.31","23,572.19","28,257.92","27,965.71","34,539.68","37,118.61","43,152.52","36,809.72","29,031.72","36,450.69","42,703.63","51,871.30","58,248.61","59,939.22","65,623.86","65,894.74","80,943.51","94,809.98","99,236.26","110,854.70","102,370.12","97,896.29","107,759.66","58,277.38","61,430.45","60,013.45","57,420.98","55,807.02","40,249.12","28,591.96","28,669.14","27,590.58","34,468.74","32,997.16","31,883.80","31,096.07","37,167.35","32,151.37","29,989.84","21,956.48","25,370.31","22,614.59","20,324.01","15,818.85","18,803.17"
i) % of Gross NPA,2.24,2.42,2.55,2.76,2.78,3.14,3.52,3.91,3.97,4.50,4.90,5.32,4.98,4.77,5.28,5.44,6.15,6.94,7.19,7.53,7.53,8.71,9.95,10.69,10.91,10.35,9.83,9.97,6.90,7.23,7.14,6.94,6.50,5.10,4.15,4.29,4.25,4.90,4.89,4.90,4.95,5.73,5.64,5.56,4.75,5.30,5.15,4.99,4.44,4.61
ii) % of Net NPA,0.57,0.64,0.64,0.71,0.67,0.77,0.80,1.00,1.02,1.34,1.52,1.77,1.50,1.23,1.59,1.86,2.23,2.65,2.79,3.07,3.01,3.95,4.84,5.29,5.73,5.61,5.43,5.97,3.71,4.24,4.19,4.05,3.81,2.89,2.14,2.24,2.12,2.80,2.73,2.66,2.57,3.24,2.91,2.83,2.10,2.59,2.44,2.22,1.82,2.22
Return on Assets %,1.36,0.62,1.01,1.22,1.23,1.08,1.04,0.48,0.74,0.71,0.66,0.57,0.58,0.49,0.44,0.42,0.37,0.60,0.33,0.25,0.09,0.45,0.11,-0.57,-0.92,-0.30,0.20,0.25,0.43,0.42,0.44,0.44,0.23,0.21,0.75,0.72,0.76,0.62,0.67,0.74,0.69,0.52,0.58,0.81,0.81,0.87,0.96,1.03,1.15,0.97
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,309.11,309.11,309.11,309.11,30.91,30.91,30.91,25.78,25.78,25.78,25.78,25.78,25.78,25.78,25.78,25.78
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,39.82,40.85,41.40,41.40,41.40,41.40,41.40,37.69,37.69,37.69,37.69,38.42,38.42,38.42,38.42,40.60
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores).,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,467.16,447.51,437.46,437.46,43.75,43.75,43.75,42.62,42.62,42.62,42.62,41.33,41.33,41.33,41.33,37.72
- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,60.18,59.15,58.60,58.60,58.60,58.60,58.60,62.31,62.31,62.31,62.31,61.58,61.58,61.58,61.58,59.40
yrc,202403,202312,202309,202306,202303,202212,202209,202206,202203,202112,202109,202106,202103,202012,202009,202006,202003,201912,201909,201906,201903,201812,201809,201806,201803,201712,201709,201706,201703,201612,201609,201606,201603,201512,201509,201506,201503,201412,201409,201406,201403,201312,201309,201306,201303,201212,201209,201206,201203,201112
